2024-10-09 15:09:00,535 - INFO - --- Starting Scenario: 2_player_heterogeneous_equiprobable_actions ---
2024-10-09 15:09:00,535 - INFO - Hyperparameters: n_agents=2, action_size=2, sigma_beta=0.5, alpha=1.3, beta_parameters=[0.63461776 0.36538224]
2024-10-09 15:09:00,546 - INFO - Episode 61: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.46153846 0.52307692], Joint Action Frequencies=[0.27692308 0.26153846 0.2        0.26153846], Iteration=66
2024-10-09 15:09:00,546 - INFO - Episode 62: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.46969697 0.51515152], Joint Action Frequencies=[0.27272727 0.25757576 0.21212121 0.25757576], Iteration=67
2024-10-09 15:09:00,546 - INFO - Episode 63: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.47761194 0.52238806], Joint Action Frequencies=[0.26865672 0.25373134 0.20895522 0.26865672], Iteration=68
2024-10-09 15:09:00,546 - INFO - Episode 64: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.47058824 0.51470588], Joint Action Frequencies=[0.27941176 0.25       0.20588235 0.26470588], Iteration=69
2024-10-09 15:09:00,546 - INFO - Episode 65: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.47826087 0.50724638], Joint Action Frequencies=[0.27536232 0.24637681 0.2173913  0.26086957], Iteration=70
2024-10-09 15:09:00,547 - INFO - Episode 66: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.48571429 0.51428571], Joint Action Frequencies=[0.27142857 0.24285714 0.21428571 0.27142857], Iteration=71
2024-10-09 15:09:00,547 - INFO - Episode 67: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.49295775 0.50704225], Joint Action Frequencies=[0.26760563 0.23943662 0.22535211 0.26760563], Iteration=72
2024-10-09 15:09:00,547 - INFO - Episode 68: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.26388889 0.23611111 0.23611111 0.26388889], Iteration=73
2024-10-09 15:09:00,547 - INFO - Episode 69: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.50684932 0.49315068], Joint Action Frequencies=[0.26027397 0.23287671 0.24657534 0.26027397], Iteration=74
2024-10-09 15:09:00,547 - INFO - Episode 70: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.51351351 0.48648649], Joint Action Frequencies=[0.25675676 0.22972973 0.25675676 0.25675676], Iteration=75
2024-10-09 15:09:00,547 - INFO - Episode 71: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.52       0.49333333], Joint Action Frequencies=[0.25333333 0.22666667 0.25333333 0.26666667], Iteration=76
2024-10-09 15:09:00,548 - INFO - Episode 72: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.51315789 0.5       ], Joint Action Frequencies=[0.25       0.23684211 0.25       0.26315789], Iteration=77
2024-10-09 15:09:00,548 - INFO - Episode 73: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.51948052 0.49350649], Joint Action Frequencies=[0.24675325 0.23376623 0.25974026 0.25974026], Iteration=78
2024-10-09 15:09:00,548 - INFO - Episode 74: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.51282051 0.48717949], Joint Action Frequencies=[0.25641026 0.23076923 0.25641026 0.25641026], Iteration=79
2024-10-09 15:09:00,548 - INFO - Episode 75: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.50632911 0.49367089], Joint Action Frequencies=[0.25316456 0.24050633 0.25316456 0.25316456], Iteration=80
2024-10-09 15:09:00,548 - INFO - Episode 76: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.5125 0.4875], Joint Action Frequencies=[0.25   0.2375 0.2625 0.25  ], Iteration=81
2024-10-09 15:09:00,548 - INFO - Episode 77: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.50617284 0.48148148], Joint Action Frequencies=[0.25925926 0.2345679  0.25925926 0.24691358], Iteration=82
2024-10-09 15:09:00,549 - INFO - Episode 78: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.5        0.48780488], Joint Action Frequencies=[0.25609756 0.24390244 0.25609756 0.24390244], Iteration=83
2024-10-09 15:09:00,549 - INFO - Episode 79: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.4939759 0.4939759], Joint Action Frequencies=[0.25301205 0.25301205 0.25301205 0.24096386], Iteration=84
2024-10-09 15:09:00,549 - INFO - Episode 80: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.25 0.25 0.25 0.25], Iteration=85
2024-10-09 15:09:00,549 - INFO - Episode 81: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.49411765 0.49411765], Joint Action Frequencies=[0.25882353 0.24705882 0.24705882 0.24705882], Iteration=86
2024-10-09 15:09:00,549 - INFO - Episode 82: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.48837209 0.5       ], Joint Action Frequencies=[0.25581395 0.25581395 0.24418605 0.24418605], Iteration=87
2024-10-09 15:09:00,550 - INFO - Episode 83: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.49425287 0.50574713], Joint Action Frequencies=[0.25287356 0.25287356 0.24137931 0.25287356], Iteration=88
2024-10-09 15:09:00,550 - INFO - Episode 84: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.5        0.51136364], Joint Action Frequencies=[0.25       0.25       0.23863636 0.26136364], Iteration=89
2024-10-09 15:09:00,550 - INFO - Episode 85: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.49438202 0.50561798], Joint Action Frequencies=[0.25842697 0.24719101 0.23595506 0.25842697], Iteration=90
